Referencia;Tipo_vivienda;Dirección;Barrio;Distrito;Población;Superficie construida;Superficie útil;Superficie solar;Habitaciones;Baños;Planta;Antigüedad;Conservación;Gastos de comunidad;Precio;Precio/m²;PMZona;PMm²Zona;RMP;RMH;Descripción;Url_foto;Url_vivienda
 SA88-ALQSQAP27A7;Piso;Calle de Alcalá, cerca de Calle de Claudio Coello;Recoletos ;Salamanca; Madrid Capital;224.0;219.0;0.0;3;3; 2;; En buen estado;;4800.0;21.43;3886.67;27.61;25956.0;60217.0;"DIZA Consultores presenta este exclusivo piso de 3 dormitorios con 5 balcones a la calle, destacando su imponente presencia señorial exterior. Este espacioso hogar, con un total de 224 metros cuadrados, ofrece una experiencia de vida única en una de las zonas más prestigiosas de Salamanca.

Consta de 3 dormitorios y tres baños aparte de un aseo de cortesía. El dormitorio principal cuenta con dos balcones a la calle, baño en suite y vestidor.

Situado en una de las áreas más codiciadas de Salamanca, este piso se encuentra cerca de todas las comodidades, incluyendo tiendas de lujo, restaurantes exclusivos y lugares culturales emblemáticos.

Con 224 metros cuadrados, este piso ofrece un espacio generoso y bien distribuido. La elegancia de sus acabados y detalles arquitectónicos resalta su carácter señorial.
Los 5 balcones a la calle permiten la entrada de una abundante luz natural, creando un ambiente cálido y acogedor en cada rincón del hogar.

Disfruta de la comodidad y seguridad que brinda el servicio de portería en la finca.

Este piso representa la combinación perfecta entre el lujo, la comodidad y la exclusividad que solo Salamanca puede ofrecer.

Si quieres conocer más pisos como este, entra en dizaconsultores.com

DIZA Consultores Inmobiliarios.

Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla.

Convertimos Sueños en Hogares.";https://fotos.imghs.net/apps/1005/216/1005_3886216_1_2024011018015874196.jpg;https://www.pisos.com/alquilar/piso-recoletos28001-40839188192_100500/
 SA4389-MC03402/9935;Piso;Calle de la Palma, cerca de Calle de San Vicente Ferrer;Universidad-Malasaña ;Centro; Madrid Capital;85.0;84.0;0.0;2;2; 3;;;;2800.0;32.94;2787.63;26.98;19199.0;38360.0;"Piso, madrid (madrid centro)

En pleno barrio de malasaña, frente a la plaza del 2 de mayo se encuentra este apartamento de diseño de 85m². Tiene 2 habitaciones, 2 banos, amplio salón y cocina. El salón con mucha luz y dos balcones a la calle, tiene unas bonitas vistas. Equipado con tv de 55 pulgadas, internet, aire acondicionado, radiadores y electrodomésticos todos clase a bajo consumo.

Sólo alquiler de temporada, mínima estancia 1 mes y máximo 6 meses.

Características básicas
85 m² construidos
2 habitaciones
2 baños
Segunda mano/buen estado
Armarios empotrados
Trastero
Amueblado y cocina equipada
Calefacción individual: eléctrica
Edificio
Planta 3ª exterior
Con ascensor
Equipamiento
Aire acondicionado";https://fotos.imghs.net/apps/1005/935/1005_197328169935_1_2023092613094939274.jpg;https://www.pisos.com/alquilar/piso-universidad_malasana28004-37563677938_100500/
 SA88-ALQGVPABBB;Piso;Calle de Atocha, cerca de Calle de Relatores;Embajadores-Lavapiés ;Centro; Madrid Capital;90.0;;0.0;2;2; 5;; A estrenar;;3200.0;35.56;2787.63;26.98;19199.0;38360.0;"DIZA Consultores les presenta esta fantástica promoción en pleno centro histórico de Madrid.

Se trata de una vivienda de 2 dormitorios y 2 baños, con cocina y amplio salón en el cual viene TODO INCLUIDO; Luz, agua, calefacción, aire acondicionado e internet de alta velocidad.

Es una promoción de altas calidades, cuidando todo al máximo detalle, esta disponible por meses, siendo un lugar perfecto para estar tanto estancias cortas como largas en el centro de Madrid.

Ubicado en el centro de la capital, entre plazas de gran importancia como la plaza de Santa Ana y la Plaza Mayor. Es una de las zonas más turísticas e históricas de la capital. Cuenta con todo tipo de bares y restaurantes, resaltando la figura del mercado de San Miguel. Este último, está localizado a escasos minutos del apartamento, y con más de 10 millones de visitantes al año, el Mercado de San Miguel es el templo gastronómico de la ciudad de Madrid.

Encuentra más en http://www.dizaconsultores.com

DIZA Consultores Inmobiliarios.

Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla.

Convertimos sueños en hogares.";https://fotos.imghs.net/apps/1005/864/1005_3785864_1_2023100912102342503.jpg;https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-38373687375_100500/
 996542-2885-JG;Ático;Calle de Sagasta;Justicia-Chueca ;Centro; Madrid Capital;220.0;120.0;0.0;2;2; 5; Entre 10 y 20 años; Reformado;;5500.0;25.0;2787.63;26.98;19199.0;38360.0;"Diplomatic Real Estate ofrece piso amueblado con espléndida terraza de 100 m2.
Disponible el 11/07/2022. Ha la renta hay que sumar un 10%.
Amplio salón con cocina integrada y acceso terraza
2 dormitorios dobles con armarios empotrados y 2 baños.
Suministro electricidad, agua, gas natural y wifi incluido hasta 250€. y 1 horas de limpieza semanal.
Esperamos su llamada en el 91 564 77 00.
Diplomatic Real Estate con más de 25 años en el sector inmobiliario y una amplia cartera de viviendas de lujo, locales, oficinas y edificios ofrece asesoramiento completo a sus clientes tanto en alquiler como en compra venta de inmuebles. www.diplomatic. es";https://fotos.imghs.net/apps/996542/25074682843.996542/996542_25074682843_3_20220624192917960.jpg;https://www.pisos.com/alquilar/atico-justicia_chueca28004-25074682843_996542/
 SA4389-MC03346/9935;Piso;Calle Colombia, cerca de Calle del Príncipe de Vergara;Hispanoamérica ;Chamartín; Madrid Capital;120.0;119.0;0.0;4;2; 5;;;;3000.0;25.0;3396.94;22.37;28233.0;69670.0;"Piso, madrid (chamartín)

Estancias cortas
4ªplanta completamente exterior. Muchísima luz. Buena finca con dos ascensores y portero físico
4 dormitorios ( todos exteriores, con cama grande, escritorio y armario) posibilidad de 5 camas en total
La habitación más pequeña tiene terraza propia
2 baños completos
Salón exterior con terraza, con zona de tv y zona comedor. Cocina amplia exterior.

Zona excelente, muy segura y bien situada rodeada de terrazas, restaurantes y zonas de ocio, y comerciales
Excelente comunicación con universidades, escuelas de master postgrado:
Complutense, icade, comillas, instituto de empresa ie, san pablo ceu, san luis, nebrija, menéndez pelayo, politécnica de madrid, pontificia salamanca, eae, iese, nebrija, europea etc
Instituto ciencias de educación ice, unie universidad
Bien comunicado estaciones tren alta velocidad ave y aeropuerto

Completamente amueblado y equipado

Parquet tv calefacción central agua caliente gas natural internet wifi fibra óptica
Lavadora horno microondas plancha tostadora vajilla cubertería menaje sábanas toallas.

Características básicas
120 m² construidos
4 habitaciones
2 baños
Terraza
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación norte, oeste
Amueblado y cocina equipada
Edificio
Planta 5ª exterior
Con ascensor
Equipamiento
Aire acondicionado";https://fotos.imghs.net/apps/1005/935/1005_195537299935_1_2023121411124857606.jpg;https://www.pisos.com/alquilar/piso-chamartin_hispanoamerica28016-36711813620_100500/
 996542-1479;Piso;Lista;Lista ;Salamanca; Madrid Capital;105.0;98.0;0.0;2;2; 6; Entre 20 y 30 años; Reformado;;3200.0;30.48;3886.67;27.61;25956.0;60217.0;Piso moderno, impecable con 1 plaza de garaje en el propio edificio. Jardín comunitario con padel y gimnasio. Salón de 26 m2 con gran ventanal y mirador. 2 dormitorios, el principal en suite, 2 baños y cocina equipada con electrodomésticos y office. Jardín comunitario con padel. Calefacción por suelo radiante.;https://fotos.imghs.net/apps/1097/973/1097_0_foto_20170602173554563_945856909199973.jpg;https://www.pisos.com/alquilar/piso-lista_barrio28001-945856909199973_109700/
 NI301-508;Piso;Calle Castelló, 117, cerca de Calle de María de Molina;Castellana ;Salamanca; Madrid Capital;89.0;83.0;0.0;1;1; 5; Entre 30 y 50 años; En buen estado;;1600.0;17.98;3886.67;27.61;25956.0;60217.0;"Apartamento precioso exterior, en alquiler calle castello a 50 metros ie business school. Disponibilidad 1 febrero 2024

Nik inversión y gestión. Ofrece este maravilloso apartamento en la conocida calle de castelló esquina con maria de molina totalmente reformado para entrar a vivir con altas calidades.

La vivienda se encuentra en una 5ª planta exterior con orientación oeste y una superficie útil de 83 metros.

El inmueble se distribuye en hall recibidor que da acceso a una cocina independiente y totalmente equipada, seguidamente nos encontramos un baño completo, amplio y con bañera, a continuación nos encontramos dormitorio principal con armario empotrado y gran ventanal.

Consta de salón-comedor amplio y muy luminoso con zona de sofás y zona comedor con vistas a calle castello.

La climatización se basa en aire frio-calor centralizado en todas las estancias, calefacción y aire acondicionado incluido en precio.

La finca consta de portero fisico 24 horas 3 ascensores y 3 plantas de garaje con plazas disponibles tanto en venta como alquiler.

Condiciones: 2 meses de fianza + 1 mes entrante. Disponible para visitas desde el 20 de enero 2024

Para mas información y visitas no dude en consultar con nik inversión y gestión. +34 640 80 64 63 (también whatsapp).

Estaremos encantados de atenderle y asesorarle en todo lo necesario.";https://fotos.imghs.net/apps/1060/800/1060_NI301-50800_1_2024011006363031250.jpg;https://www.pisos.com/alquilar/piso-salamanca_castellana28006-40926567014_106000/
 SA88-ALQALJBCE;Piso;Calle de Juan Bravo, cerca de Calle de Núñez de Balboa;Castellana ;Salamanca; Madrid Capital;334.0;280.0;0.0;4;5; 1;; En buen estado;;6500.0;19.46;3886.67;27.61;25956.0;60217.0;"DIZA Consultores les presenta una oportunidad excepcional en el corazón de Barrio Salamanca, Madrid: una vivienda de lujo en la prestigiosa Calle Juan Bravo, a escasos pasos de la elegante Calle Velázquez.

Esta propiedad, que se encuentra en la codiciada Milla de Oro de Madrid, está estratégicamente ubicada y ofrece una conectividad insuperable, con la estación de metro de Núñez de Balboa a solo 2 minutos a pie.

Este exclusivo apartamento, completamente amueblado y diseñado con atención a los detalles, es ideal para ejecutivos que buscan alojamiento de alta calidad durante sus estancias en Madrid, así como para familias que desean experimentar la vida en uno de los vecindarios más distinguidos de la ciudad.

Se accede a la propiedad a través de un amplio vestíbulo que sirve como preludio a una experiencia de vida excepcional. El diseño de espacios abiertos crea una sensación de amplitud y luminosidad en todo el inmueble, que abarca generosos 300 metros cuadrados. La vivienda se distribuye en cuatro habitaciones, incluyendo tres habitaciones dobles y una individual, cada una de ellas con su propio cuarto de baño completo, además de un aseo adicional para invitados.

El corazón de esta residencia es un espacioso salón, con dos ambientes distintos, una cálida chimenea y acceso directo a una terraza que invita a disfrutar de momentos de relajación al aire libre. Además, un despacho ofrece un espacio de trabajo privado, mientras que un comedor independiente es perfecto para cenas formales o reuniones familiares.

La cocina de esta propiedad es un sueño hecho realidad para los amantes de la cocina, equipada con los electrodomésticos más modernos y una zona de lavado independiente con fregadero, lavadora y secadora. Para su comodidad, la vivienda cuenta con agua caliente, aire acondicionado y calefacción central.

La conectividad es una prioridad, por lo que esta propiedad ofrece tres zonas de conexión WiFi y una conexión de fibra óptica de alta velocidad, incluidas en el precio del alquiler.

Esta residencia de lujo en Barrio Salamanca, Madrid, representa el equilibrio perfecto entre comodidad, elegancia y ubicación privilegiada. No pierda la oportunidad de vivir una experiencia única en uno de los vecindarios más exclusivos de la capital.

Disponible a partir de Diciembre de 2023.

DIZA Consultores Inmobiliarios.

Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla.

Convertimos Sueños en Hogares.";https://fotos.imghs.net/apps/1005/150/1005_3779150_1_2023092118090698854.png;https://www.pisos.com/alquilar/piso-salamanca_castellana28006-37558398811_100500/
 4521170-DE - EUR722- 020719 - AL-86140365;Apartamento;Calle de Juan Ramón Jiménez, 8;Hispanoamérica ;Chamartín; Madrid Capital;74.0;;0.0;1;1; 8;;;;1800.0;24.32;3396.94;22.37;28233.0;69670.0;Acogedor oasis en el corazón del distrito financiero de Madrid, a tan sólo unos minutos del Paseo de la Castellana, una de las arterias principales de la ciudad, en la misma avenida que el famoso estadio del Real Madrid, el Santiago Bernabeu, y rodeado de un sinfín de tiendas y restaurantes puedes encontrar tu residencia en un piso de lujo, decorado con detalles exquisitos y ayudarte en tu traslado laboral o simplemente para tu descanso.Distribuido en salón comedor bañado con una magnífica luz natural gracias a sus grandes ventanales, cocina equipada e independiente, amplia habitación con su baño completo en suite, armarios empotrados y con detalles que hagan tu estancia más cómoda.Al estar ubicado en Las Estancias del Eurobuilding, puedes disfrutar de todos los beneficios que esto te aporta, se accede al hotel directamente sin tener que salir a la calle. Considerado el mejor hotel de ocio y negocio en Europa gracias a sus instalaciones, servicio e innovación tecnológica.Dispone también de uno de los mejores spas y Fitness Center de la capital: METROPOLITAN® Fitness Center & Spa junto con la mejor oferta gastronómica de Madrid: DiverXO (tres estrellas Michelin), DOMO by Paco Roncero, DOMO by Diego Cabrera y 99 Sushi Bar.Inmueble exterior, se entrega amueblado tal como aparece en las fotos, dispone de conserje 24 h. los 365 días de año.CONDICIONES:Precio de alquiler mensual: 1.800€ + 2 meses de fianza + 1 de intermediación.;https://fotos.imghs.net/apps/1001/365/1001_PX76396_-_DE_-_EUR722-_020719_-_AL-86140365_1_2020061101081931250.jpg;https://www.pisos.com/alquilar/apartamento-chamartin_hispanoamerica28036-5045045720_100100/
 996542-3698-DG;Chalet unifamiliar;Paseo del Cerro del Toro;Ciudalcampo-Fuente del Fresno ;San Sebastián de los Reyes;San Sebastián de los Reyes;550.0;510.0;0.0;5;5;0;; En buen estado;;4200.0;7.64;3490.0;11.43;16370.999999999998;45647.0;"Diplomatic Real Estate ofrece magnífico chalet de 2 plantas.
Planta calle; salón con acceso terraza, comedor independiente, biblioteca y hall de entrada
Dormitorio principal con baño con ducha y jacuzzi.
Otro dormitorio con baño.
Cocina equipada con electrodomésticos y cuarto de lavado.
Planta primera; salón y terraza.
Dormitorio y baño.
Otro dormitorio que puede ser despacho.
Jardín y piscina de agua salada.
El precio incluye jardinero 1 vez por semana.
Sótano; garaje para 4 coches, trastero, bodega, dormitorio y baño de servicio.
Ubicado en la Urbanización de Ciudalcampo, en una de las mejores zonas de Madrid, en un entorno privilegiado con vista a la sierra Norte de Madrid, que guarda un perfecto equilibrio entre el desarrollo urbanístico y la conservación del medio rural.
Fácil acceso a la N-1 y próxima al Aeropuerto de Barajas, Ifema y parque empresarial, dotada de todos los servicios colegios, Club deportivo ( golf, paddel, tenis, gimnasios, hípica y futbol). Servicio de correos y Centro Comercial Santo Domingo.
Bien comunicada con autobuses a Madrid y dentro de la propia Urbanización-
Excepcionales medidas de seguridad, cámaras, vallado perimetral y servicio de seguridad 24 horas y patrullas de vigilancia y control de barrera a la entrada de la Urbanización.
Esperamos su llamada, 91 564 77 00
Diplomatic Real Estate con más de 25 años en el sector inmobiliario y una amplia cartera de viviendas de lujo, locales, oficinas y edificios ofrece asesoramiento completo a sus clientes tanto en alquiler como en compra venta de inmuebles.";https://fotos.imghs.net/apps/996542/36762704672.996542/996542_36762704672_1_20230816213348870.jpg;https://www.pisos.com/alquilar/chalet_unifamiliar-ciudalcampo_fuente_del_fresno-36762704672_996542/
